"sample_size","mean_kl","sd_kl"
10,0.641893710533843,0.0506227859464447
20,0.306850058504912,0.0328000805420831
30,0.181682193016679,0.0259836853037558
40,0.127849446375781,0.0105938056730101
50,0.0962090740397142,0.0113372654946974
60,0.0784608840628309,0.00623346738978221
70,0.0615692843092326,0.00671255246712458
80,0.0555181065878982,0.0048455805982666
90,0.0510686413489038,0.0094314374278024
100,0.0427671046524722,0.00472766869070402
110,0.0416843355284577,0.00504383033394973
120,0.0375185944077857,0.00409688983878288
130,0.0329229155120881,0.00417253732734302
140,0.0320774004683012,0.00275251806651604
150,0.0285923748273195,0.00490210599506741
160,0.0271230173394751,0.00187193654816785
170,0.0283192883607514,0.00348465576559457
180,0.0285451328518418,0.00335521389497657
190,0.0275443202700416,0.00292877538958719
200,0.0247748290955292,0.00283334848720433
210,0.0237864274523831,0.00349202920790411
220,0.0243897472099095,0.00123810647730041
230,0.0224503781000967,0.00211569325372132
240,0.0223180002700237,0.00287746091552389
250,0.0212371443831063,0.00280062221523688
260,0.0206100546750797,0.00191138963286062
270,0.0198798241956267,0.00208819731969615
280,0.0195082802928791,0.00224597048340249
290,0.0195999894873688,0.00228022053458395
300,0.019360045563233,0.00217924497320829
310,0.0201683232528677,0.00205671380061569
320,0.0175776986004944,0.0017896218019051
330,0.0190602614546603,0.00187617594870863
340,0.0193074755667539,0.00212652840459222
350,0.0182515759966162,0.00200014917638368
360,0.0170586088431203,0.001841403751195
370,0.017749305231172,0.00129660095377079
380,0.0165412944049146,0.00130264992781421
390,0.0172100149969902,0.00153976471099698
400,0.0166448863399021,0.00184131979155293
410,0.0171225915846796,0.00289501071216165
420,0.0157192578891027,0.00104658677750166
430,0.0176798609315666,0.0024239586002459
440,0.0156723069492578,0.00121018387824518
450,0.0161916664008706,0.00129945547275742
460,0.0151111227637053,0.00156106067862678
470,0.0149939196864953,0.00135291065541083
480,0.0154456354890972,0.00166447655816398
490,0.0151794907263734,0.00194890508424693
500,0.0155078357175229,0.00142526327625966
